success,tokenNum,teamSize,USA,UK,othercountry,overallrating,offered_ownership,duration,priceETH,isERC,softcap,hardcap,whitepaper,video,socialMedia
0,18.42068074,2.397895273,0,0,1,3,NA,28,5.00E-04,1,1,1,1,1,0
1,NA,1.609437912,0,0,1,2.1,0.9,7,0.00015,0,0,1,1,0,0
0,16.81124283,1.609437912,0,0,1,2,0.4,30,0.0028,1,0,1,1,0,0
0,#NAME?,1.609437912,0,0,1,2.1,0.75,20,8.00E-06,1,0,0,1,0,0
1,NA,2.833213344,1,0,0,3.8,0.7,28,0.00021,1,0,1,1,1,3
1,19.33697148,2.708050201,0,0,1,3.8,0.5,2,0.00014,1,0,1,1,1,3
0,17.82284374,1.945910149,1,0,0,2.5,NA,0,0.00025,NA,0,0,0,1,3
0,15.42494847,#NAME?,0,0,1,1.6,0.25,35,0.003,1,0,0,1,0,0
1,20.03011866,2.197224577,0,0,1,2.3,0.5,60,5.00E-04,1,0,0,1,0,0
1,NA,2.079441542,1,0,0,2.9,NA,7,0.0416,1,0,1,1,1,0
0,17.21670794,1.386294361,1,0,0,1.3,0.5,43,NA,1,0,0,1,0,0
1,NA,1.098612289,0,0,1,2,NA,46,NA,1,1,1,1,0,0
0,19.61460321,1.098612289,1,0,0,2.4,NA,30,0.00016,0,1,1,1,0,0
1,17.79055054,1.609437912,0,1,0,3.1,NA,0,0.0011,NA,0,1,1,0,0
0,11.91839057,1.386294361,0,0,1,1.9,0.5,14,0.8,NA,0,1,1,0,0
1,NA,3.218875825,0,0,1,3,NA,9,0.00015,1,1,1,1,1,0
0,17.98989783,0,0,1,0,1.7,0.65,42,0.00014,1,0,0,1,0,0
0,17.72753356,1.791759469,0,0,1,2.8,NA,30,5.00E-04,1,0,0,1,1,0
1,19.51929303,2.48490665,0,0,1,4.6,0.3,0,0.00014,1,0,1,1,1,3
0,17.90985512,1.945910149,1,0,0,2.5,0.3,204,0.00137,1,0,0,1,0,0
1,18.28141868,2.302585093,0,0,1,3.1,NA,0,0.0028,NA,0,0,1,1,2
0,14.80876233,1.098612289,0,0,1,1.5,0.15,26,0.0014,NA,0,0,1,1,0
0,16.16688582,1.609437912,0,1,0,2.4,0.14,59,7.00E-04,0,1,1,1,0,0
1,18.92145603,2.890371758,0,0,1,3.2,0.07,52,0.0015,1,1,1,1,1,3
1,17.97439364,2.63905733,0,0,1,3.4,0.64,55,NA,NA,0,0,1,1,0
0,18.68304501,2.48490665,0,0,1,1.8,0.5,35,0.1,1,0,0,1,0,0
1,NA,2.708050201,0,0,1,3.6,NA,59,4.00E-04,1,0,0,1,1,0
1,20.21244021,3.17805383,0,0,1,3.2,0.6,45,5.00E-04,1,1,1,1,1,2
1,23.43131604,2.079441542,1,0,0,3.6,0.5,28,3.60E-06,1,1,1,1,1,2
1,20.03011866,2.564949357,0,0,1,4.2,0.5,NA,6.00E-05,1,1,1,1,0,3
1,NA,1.945910149,1,0,0,2.6,NA,40,NA,NA,0,0,1,1,2
0,19.11382792,2.995732274,0,0,1,2.4,NA,8,0.0014,1,0,0,1,0,0
1,17.24949776,2.63905733,0,0,1,4.2,0.68,28,0.0023,1,1,1,1,1,3
1,18.10966181,2.63905733,0,1,0,3.7,0.55,31,0.001638,1,1,1,1,1,0
1,17.90985512,2.772588722,0,0,1,2.9,0.6,30,8.00E-04,1,0,1,1,1,0
1,17.50439001,2.63905733,0,0,1,3.7,0.4,35,0.00039,1,1,1,1,1,2
1,NA,1.791759469,1,0,0,2.8,NA,2,0.0026,NA,0,0,1,1,0
1,NA,2.772588722,0,0,1,3.9,0.73,31,2.00E-05,1,1,1,1,1,0
1,NA,1.386294361,0,1,0,2.8,NA,28,0.013,NA,0,0,1,1,2
1,17.50439001,3.17805383,0,0,1,4.3,0.8,46,0.001,NA,0,1,1,1,2
0,19.11382792,1.791759469,0,0,1,2,0.5,21,0.001,NA,0,1,1,0,0
1,15.76142071,2.302585093,0,0,1,3.4,0.7,14,0.0011,NA,0,1,1,1,2
1,NA,2.397895273,1,0,0,2.4,NA,42,NA,1,0,0,1,1,0
0,#NAME?,1.945910149,0,0,1,2.4,0.87,42,0.0055,1,1,1,1,0,0
0,#NAME?,1.791759469,0,0,1,2,NA,33,0.0016,1,0,1,1,0,0
1,NA,2.995732274,0,0,1,4.2,0.4,44,7.00E-04,1,1,1,1,1,1
0,4.94875989,2.890371758,0,0,1,3.5,0.76,55,0.0014,1,1,1,1,1,0
0,17.72753356,0.693147181,1,0,0,2.1,0.5,46,0.007,1,0,1,1,1,1
1,NA,2.48490665,0,0,1,3.6,0.4,0,0.0056,1,0,1,1,1,3
1,NA,1.098612289,0,0,1,1,NA,106,NA,NA,1,0,0,1,0
0,21.12873095,1.791759469,0,1,0,1.9,0.75,31,7.00E-05,1,1,1,1,0,0
0,#NAME?,1.098612289,0,0,1,1.8,NA,28,1.11,NA,0,0,1,0,0
1,20.62233992,2.944438979,0,0,1,3.6,0.6,7,8.00E-05,1,1,1,1,1,0
0,#NAME?,1.945910149,0,0,1,1.7,NA,14,NA,NA,0,0,1,1,0
1,16.04820952,1.609437912,1,0,0,2.9,0.79,36,0.00056,1,0,1,1,1,0
1,18.19753719,1.609437912,0,0,1,3,0.53,34,0.0014,1,0,0,1,1,0
1,18.89068437,2.833213344,1,0,0,3.5,0.64,68,0.0014,NA,0,1,1,1,0
1,18.01521563,2.944438979,0,0,1,3.8,NA,59,0.001,1,0,1,1,1,0
1,19.11382792,2.197224577,0,0,1,3.5,0.22,31,0.00025,NA,1,1,1,1,3
0,16.70588232,2.564949357,0,0,1,1.8,0.88,21,0.0014,NA,1,1,0,1,0
1,21.82187813,3.610917913,0,0,1,4.3,0.1,38,8.00E-06,1,1,1,1,1,0
1,20.72326584,2.772588722,0,0,1,3.8,NA,30,7.00E-05,1,1,1,1,1,0
1,19.59933574,2.564949357,1,0,0,4.1,0.5,7,0.00042,1,1,1,1,1,3
1,NA,1.791759469,0,0,1,3.4,NA,0,NA,NA,0,0,1,1,0
1,19.6503213,2.944438979,0,0,1,3.7,0.33,30,0.00014,1,1,1,1,1,0
1,5.857933154,0.693147181,0,0,1,3.4,0.66,150,4.00E-04,1,0,1,1,1,0
